期号,星期,红球1,红球2,红球3,红球4,红球5,红球6,蓝球
2023148,7 ,3,5,7,9,19,20,8
2023147,4 ,5,6,14,16,19,32,12
2023146,2 ,2,3,6,11,20,32,9
2023145,7 ,7,10,21,22,23,24,11
2023144,4 ,12,16,17,22,25,27,8
2023143,2 ,5,7,9,16,23,30,15
2023142,7 ,2,8,20,21,27,33,14
2023141,4 ,1,8,11,12,21,23,3
2023140,2 ,3,4,11,14,30,31,5
2023139,7 ,12,14,19,21,27,31,11
2023138,4 ,3,22,28,30,31,33,4
2023137,2 ,3,12,17,19,23,27,11
2023136,7 ,3,5,10,21,22,26,10
2023135,4 ,5,6,11,13,28,30,7
2023134,2 ,5,8,9,17,22,33,4
2023133,7 ,4,5,10,14,22,25,3
2023132,4 ,3,9,11,15,25,27,1
2023131,2 ,6,7,14,20,26,32,1
2023130,7 ,4,10,17,22,23,32,16
2023129,4 ,8,9,12,17,32,33,4
2023128,2 ,7,16,20,21,27,33,1
2023127,7 ,3,8,19,22,26,32,14
2023126,4 ,10,24,26,28,29,31,16
2023125,2 ,11,14,15,27,30,33,4
2023124,7 ,2,3,17,18,25,30,11
2023123,4 ,10,13,15,22,29,32,15
2023122,2 ,7,8,14,18,20,30,5
2023121,7 ,2,12,16,25,30,31,12
2023120,4 ,3,8,13,24,27,29,8
2023119,2 ,1,2,3,19,21,28,15
2023118,7 ,1,2,11,19,25,29,4
2023117,4 ,2,11,14,17,18,28,8
2023116,2 ,2,8,9,13,24,27,12
2023115,7 ,2,7,16,21,26,27,16
2023114,4 ,7,9,15,16,17,26,9
2023113,4 ,1,2,13,18,25,27,3
2023112,2 ,9,12,13,22,24,31,4
2023111,7 ,5,6,12,17,20,33,9
2023110,4 ,2,6,20,25,29,33,16
2023109,2 ,6,8,10,13,16,28,13
2023108,7 ,1,3,6,8,18,24,9
2023107,4 ,3,7,18,25,29,33,14
2023106,2 ,7,9,10,20,22,24,7
2023105,7 ,1,3,5,26,30,32,16
2023104,4 ,10,19,23,25,30,31,12
2023103,2 ,5,6,13,24,25,29,15
2023102,7 ,1,9,10,13,21,28,10
2023101,4 ,1,5,9,15,18,26,4
2023100,2 ,5,6,12,15,23,25,4
2023099,7 ,9,11,14,19,27,33,5
2023098,4 ,2,10,11,14,21,27,11
2023097,2 ,1,9,14,19,29,30,15
2023096,7 ,8,11,18,26,31,32,15
2023095,4 ,3,8,16,17,22,26,11
2023094,2 ,6,10,12,14,30,31,12
2023093,7 ,10,21,24,25,27,32,7
2023092,4 ,3,12,24,25,32,33,13
2023091,2 ,16,20,22,26,30,32,16
2023090,7 ,1,2,9,26,30,31,7
2023089,4 ,8,13,15,27,28,31,11
2023088,2 ,1,14,18,26,31,33,5
2023087,7 ,2,9,15,17,28,33,1
2023086,4 ,8,9,10,22,26,32,12
2023085,2 ,11,18,23,24,31,33,13
2023084,7 ,9,13,14,17,19,27,3
2023083,4 ,7,10,12,16,17,30,12
2023082,2 ,4,18,19,24,27,30,16
2023081,7 ,1,11,15,16,22,31,15
2023080,4 ,1,2,4,9,25,31,8
2023079,2 ,5,6,9,12,21,22,7
2023078,7 ,6,8,14,19,30,31,8
2023077,4 ,7,9,14,22,26,27,1
2023076,2 ,3,4,15,18,19,22,9
2023075,7 ,13,15,24,28,30,31,1
2023074,4 ,2,8,9,18,19,21,3
2023073,2 ,1,3,15,16,25,32,10
2023072,7 ,2,6,10,24,25,33,9
2023071,4 ,5,12,15,19,24,26,6
